Year,AVG_Close_yearly
1992,0.47
1993,0.70
1994,0.81
1995,1.05
1996,1.71
1997,2.20
1998,2.70
1999,3.46
2000,4.70
2001,4.93
2002,5.57
2003,6.64
2004,11.06
2005,13.40
2006,17.62
2007,14.12
2008,7.61
2009,7.87
2010,13.08
2011,18.93
2012,25.63
2013,33.71
2014,37.77
2015,53.25
2016,56.59
2017,57.27
2018,57.50
2019,81.44
2020,82.86
2021,112.05
2022,87.63
2023,101.17
